,date,irad_amt,av_temp,prcp_amt,PET,amount,remaining
13397,2018-04-01,86.91451,5.555177,2.441539,5.969534337052773,3.0,-3.5279953370527726
13399,2018-04-03,96.78996,6.3925323,0.13420296,7.175187048514497,5.0,-7.040984088514497
13400,2018-04-04,37.627148,7.2885704,30.252825,3.0087445155467156,5.0,27.244080484453285
13401,2018-04-05,108.336716,9.594679,0.7602795,10.288518961049999,4.0,-9.52823946105
13402,2018-04-06,92.11452,10.468703,1.0733409,9.271812544687403,4.0,-8.198471644687404
13409,2018-04-13,130.82147,5.7421904,0.08933492,9.144385340629151,5.0,-9.05505042062915
13412,2018-04-16,173.61124,6.755885,0.06731377,13.280542504863353,4.0,-13.213228734863353
13413,2018-04-16,173.61124,6.755885,0.06731377,13.280542504863353,4.0,-13.213228734863353
13420,2018-04-23,174.42113,11.430717,0.040655363,18.648257586219483,3.0,-18.607602223219484
13421,2018-04-23,174.42113,11.430717,0.040655363,18.648257586219483,2.0,-18.607602223219484
13422,2018-04-24,100.58415,9.841767,1.8569193,9.713993481214537,4.0,-7.8570741812145375
13426,2018-04-28,88.40276,6.904437,8.508315,6.847898796500001,3.0,1.6604162034999987
13428,2018-04-30,129.6763,8.094934,3.5431032,11.049600402552057,2.0,-7.506497202552057
13429,2018-05-01,95.4219,6.4596395,9.044192,7.1154384071125065,2.0,1.9287535928874942
13445,2018-05-17,119.46824,6.5650983,2.9304287,8.990512358979645,2.0,-6.060083658979645
13446,2018-05-17,119.46824,6.5650983,2.9304287,8.990512358979645,2.0,-6.060083658979645
13447,2018-05-18,143.73836,7.7732224,0.23636712,11.946915927194587,1.0,-11.710548807194586
13448,2018-05-18,143.73836,7.7732224,0.23636712,11.946915927194587,1.0,-11.710548807194586
13455,2018-05-25,162.33228,10.607442,0.09906157,16.48615073417335,1.0,-16.38708916417335
13456,2018-05-26,162.05739,10.365816,0.23565853,16.20343594599323,1.0,-15.96777741599323
13910,2019-09-02,150.00584,14.293705,0.098140836,18.832433792537742,2.0,-18.734292956537743
13913,2019-09-05,75.58944,14.822126,1.059927,9.74976186848933,2.0,-8.68983486848933
13921,2019-09-13,128.31416,14.41207,0.04503321,16.207987089479435,1.0,-16.162953879479435
13922,2019-09-13,128.31416,14.41207,0.04503321,16.207987089479435,2.0,-16.162953879479435
13923,2019-09-14,77.62316,14.29477,2.0851645,9.745711991626758,2.0,-7.660547491626758
13924,2019-09-14,77.62316,14.29477,2.0851645,9.745711991626758,2.0,-7.660547491626758
13925,2019-09-14,77.62316,14.29477,2.0851645,9.745711991626758,2.0,-7.660547491626758
13926,2019-09-14,77.62316,14.29477,2.0851645,9.745711991626758,1.0,-7.660547491626758
13928,2019-09-16,89.93608,16.136143,2.3702683,12.369220768736598,2.0,-9.998952468736597
13929,2019-09-16,89.93608,16.136143,2.3702683,12.369220768736598,2.0,-9.998952468736597
13930,2019-09-16,89.93608,16.136143,2.3702683,12.369220768736598,2.0,-9.998952468736597
13931,2019-09-17,130.65752,13.550853,0.017378666,15.771788436130661,1.0,-15.75440977013066
13934,2019-09-20,54.946033,13.455664,2.5923536,6.598552337200104,1.0,-4.006198737200104
13935,2019-09-21,133.52583,11.3384,0.000120598,14.195721114471631,1.0,-14.19560051647163
13936,2019-09-22,122.255585,12.965856,0.016062172,14.292206112088497,3.0,-14.276143940088497
13937,2019-09-22,122.255585,12.965856,0.016062172,14.292206112088497,2.0,-14.276143940088497
13938,2019-09-23,128.28752,13.342622,0.035067793,15.311878492174909,1.0,-15.27681069917491
13939,2019-09-24,127.3989,12.943152,9.45e-05,14.874660511015094,1.0,-14.874566011015094
13940,2019-09-24,127.3989,12.943152,9.45e-05,14.874660511015094,3.0,-14.874566011015094
13941,2019-09-25,85.100174,13.596161,0.51614577,10.297608907027684,1.0,-9.781463137027684
13942,2019-09-25,85.100174,13.596161,0.51614577,10.297608907027684,2.0,-9.781463137027684
13943,2019-09-26,121.825874,12.912841,0.021396218,14.199944759552537,4.0,-14.178548541552537
13944,2019-09-26,121.825874,12.912841,0.021396218,14.199944759552537,3.0,-14.178548541552537
13945,2019-09-26,121.825874,12.912841,0.021396218,14.199944759552537,3.0,-14.178548541552537
13946,2019-09-26,121.825874,12.912841,0.021396218,14.199944759552537,4.0,-14.178548541552537
13947,2019-09-27,110.482544,12.773575,0.12729146,12.777653448560645,5.0,-12.650361988560645
13948,2019-09-28,105.675995,11.90799,0.13639987,11.62655301080199,4.0,-11.49015314080199
13949,2019-09-28,105.675995,11.90799,0.13639987,11.62655301080199,1.0,-11.49015314080199
13950,2019-09-28,105.675995,11.90799,0.13639987,11.62655301080199,4.0,-11.49015314080199
13951,2019-09-28,105.675995,11.90799,0.13639987,11.62655301080199,4.0,-11.49015314080199
13952,2019-09-29,103.02678,11.132833,0.042760197,10.815420589977485,3.0,-10.772660392977485
13953,2019-09-29,103.02678,11.132833,0.042760197,10.815420589977485,4.0,-10.772660392977485
13954,2019-09-29,103.02678,11.132833,0.042760197,10.815420589977485,4.0,-10.772660392977485
13955,2019-09-30,80.986664,11.25882,0.060369186,8.568112912392504,3.0,-8.507743726392503
13956,2019-09-30,80.986664,11.25882,0.060369186,8.568112912392504,4.0,-8.507743726392503
13958,2019-10-02,70.80434,11.669776,0.10475912,7.680195781024466,2.0,-7.575436661024466
13959,2019-10-03,55.01187,12.381882,0.39466345,6.222083764571446,3.0,-5.827420314571445
13960,2019-10-04,64.985176,12.798858,2.7793803,7.526431023744195,5.0,-4.747050723744195
13961,2019-10-04,64.985176,12.798858,2.7793803,7.526431023744195,2.0,-4.747050723744195
13962,2019-10-04,64.985176,12.798858,2.7793803,7.526431023744195,1.0,-4.747050723744195
13963,2019-10-05,29.55253,9.234475,12.058226,2.7372771308677124,3.0,9.320948869132287
13964,2019-10-06,48.360367,8.774855,1.2302582,4.3347022590563835,4.0,-3.1044440590563838
13965,2019-10-07,68.056625,7.7471385,1.0918206,5.645023586137184,3.0,-4.553202986137184
13968,2019-10-10,70.29423,7.586025,0.019528085,5.756929568816696,5.0,-5.737401483816696
13970,2019-10-12,77.86746,7.68682,0.007566463,6.428230406540865,2.0,-6.420663943540865
13971,2019-10-12,77.86746,7.68682,0.007566463,6.428230406540865,4.0,-6.420663943540865
13975,2019-10-16,18.158085,12.761968,9.983408,2.098668172249349,5.0,7.884739827750652
13976,2019-10-16,18.158085,12.761968,9.983408,2.098668172249349,4.0,7.884739827750652
13977,2019-10-16,18.158085,12.761968,9.983408,2.098668172249349,4.0,7.884739827750652
13978,2019-10-17,30.743675,14.834558,4.3280697,3.967902166323855,5.0,0.3601675336761452
13979,2019-10-18,36.86928,14.229597,3.0247393,4.613361504946383,4.0,-1.588622204946383
13980,2019-10-18,36.86928,14.229597,3.0247393,4.613361504946383,4.0,-1.588622204946383
13981,2019-10-18,36.86928,14.229597,3.0247393,4.613361504946383,5.0,-1.588622204946383
13982,2019-10-19,31.08208,13.774313,3.5369978,3.797141453741802,4.0,-0.2601436537418018
13984,2019-10-21,31.176268,12.863316,1.7817205,3.62383867116533,2.0,-1.84211817116533
13985,2019-10-21,31.176268,12.863316,1.7817205,3.62383867116533,3.0,-1.84211817116533
13986,2019-10-22,21.660519,12.896068,2.6701632,2.522371947809032,2.0,0.14779125219096834
13987,2019-10-23,36.967,12.756091,0.17590606,4.271144039543206,3.0,-4.095237979543206
13988,2019-10-23,36.967,12.756091,0.17590606,4.271144039543206,3.0,-4.095237979543206
13991,2019-10-26,39.85437,11.264437,0.13948487,4.217913131439941,4.0,-4.0784282614399405
13992,2019-10-26,39.85437,11.264437,0.13948487,4.217913131439941,4.0,-4.0784282614399405
13993,2019-10-27,50.465508,10.806093,0.05783461,5.190411977747553,2.0,-5.132577367747554
13995,2019-10-29,47.389027,8.835115,0.029177425,4.266219666079548,2.0,-4.237042241079548
13996,2019-10-30,38.268005,9.912,0.17490795,3.7132515002602817,2.0,-3.5383435502602816
13997,2019-10-30,38.268005,9.912,0.17490795,3.7132515002602817,2.0,-3.5383435502602816
13998,2019-11-01,19.665333,10.577571,9.622644,1.9933506054538197,2.0,7.629293394546179
13999,2019-11-01,19.665333,10.577571,9.622644,1.9933506054538197,2.0,7.629293394546179
14000,2019-11-01,19.665333,10.577571,9.622644,1.9933506054538197,2.0,7.629293394546179
14001,2019-11-01,19.665333,10.577571,9.622644,1.9933506054538197,2.0,7.629293394546179
